,pat,entity A,entity B,apis
0,convert (.*) to (.*),"['a', 'string']","['an', 'int']","['java.util.Optional.ofNullable', 'java.lang.Integer.parseInt']"
1,convert (.*) to (.*),"['from', 'int']",['string'],"['java.lang.Integer.toString', 'java.lang.String.valueOf']"
2,convert (.*) to (.*),['integer'],['string'],"['java.lang.Integer.toString', 'java.lang.String.valueOf']"
3,convert (.*) to (.*),['string'],['long'],['java.lang.Long.parseLong']
4,convert (.*) to (.*),"['string', 'object']","['boolean', 'object']","['java.lang.Boolean.parseBoolean', 'java.lang.Boolean.valueOf']"
5,convert (.*) to (.*),"['a', 'collection']",['list'],['java.util.Collections.sort']
6,convert (.*) to (.*),"['list', 'string']","['a', 'string']","['java.util.Arrays.asList', 'java.lang.String.join']"
7,convert (.*) to (.*),"['object', 'array']","['string', 'array']",['java.util.Arrays.copyOf']
8,convert (.*) to (.*),"['string', 'array']",['arraylist'],['java.util.Arrays.asList']
9,convert (.*) to (.*),['string'],"['calendar', 'object']",['java.util.Calendar.getInstance']
10,convert (.*) to (.*),['number'],['words'],"['java.lang.Long.toString', 'java.lang.Integer.parseInt']"
11,convert (.*) to (.*),['currenttimemillis'],"['a', 'date']",['java.util.Calendar.getInstance']
12,convert (.*) to (.*),['integer'],['int'],['java.lang.Integer.intValue']
13,convert (.*) to (.*),['image'],"['byte', 'array']",['javax.imageio.ImageIO.read']
14,convert (.*) to (.*),['string'],['long'],"['java.lang.Long.valueOf', 'java.lang.Long.parseLong']"
15,convert (.*) to (.*),"['an', 'iterator']","['a', 'stream']","['java.util.Arrays.asList', 'java.util.Spliterators.spliteratorUnknownSize', 'java.util.stream.StreamSupport.stream']"
16,convert (.*) to (.*),['string'],['float'],['java.lang.Float.valueOf']
17,convert (.*) to (.*),"['hex', 'string']",['int'],['java.lang.Long.parseLong']
18,convert (.*) to (.*),['integer'],"['hex', 'integer']",['java.lang.Integer.valueOf']
19,convert (.*) to (.*),"['base', 'string']",['image'],"['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
20,convert (.*) to (.*),"['java', 'string']","['sql', 'timestamp']",['java.sql.Timestamp.valueOf']
21,convert (.*) to (.*),"['a', 'date']",['milliseconds'],"['java.time.LocalDateTime.parse', 'java.time.format.DateTimeFormatter.ofPattern']"
22,convert (.*) to (.*),['inputstream'],['fileinputstream'],"['java.nio.file.Files.copy', 'java.nio.file.Files.createTempFile']"
23,convert (.*) to (.*),"['a', 'number']","['a', 'letter']",['java.lang.String.valueOf']
24,convert (.*) to (.*),['zoneddatetime'],['date'],['java.util.Date.from']
25,convert (.*) to (.*),"['date', 'format']",['milliseconds'],['java.util.Date.getTime']
26,convert (.*) to (.*),"['java', 'date']","['utc', 'string']","['java.util.TimeZone.getTimeZone', 'java.util.Calendar.getInstance', 'java.util.Date.toString']"
